variant,project,mean_apfd,std_apfd,median_apfd,n_builds_with_failures,alpha,train_time,eval_time
dnn_epochs_5,neuland@jade4j,0.729136174857688,0.11179084382720277,0.7142857142857142,27,0.0,0.26374316215515137,0.33489274978637695
dnn_epochs_10,neuland@jade4j,0.7283096520061583,0.1255819231164946,0.7195121951219512,27,0.0,0.27753639221191406,0.3687880039215088
dnn_epochs_20,neuland@jade4j,0.7206979517144285,0.1226560418166507,0.7195121951219512,27,0.0,0.272510290145874,0.3707003593444824
pos_weight_10,neuland@jade4j,0.7270865106379237,0.11718595414413205,0.7195121951219512,27,0.0,0.25400352478027344,0.32215261459350586
pos_weight_25,neuland@jade4j,0.7347040914806207,0.12228116473117603,0.7195121951219512,27,0.0,0.263042688369751,0.3393118381500244
pos_weight_100,neuland@jade4j,0.7283391661748311,0.11407821688445885,0.7195121951219512,27,0.4,0.29451870918273926,1.5401437282562256
alpha_0.0,square@okhttp,0.8890645345455941,0.13213238344670702,0.9444444444444444,354,0.0,0.344449520111084,3.9913599491119385
alpha_0.3,square@okhttp,0.8890645345455941,0.13213238344670702,0.9444444444444444,354,0.3,0.2829732894897461,20.776426076889038
alpha_0.5,square@okhttp,0.8890989840426313,0.13208657565056695,0.9444444444444444,354,0.5,0.29270195960998535,20.21558713912964
alpha_0.7,square@okhttp,0.8890989840426313,0.13208657565056695,0.9444444444444444,354,0.7,0.38855910301208496,20.842013359069824
alpha_1.0,square@okhttp,0.6914849095822502,0.20746749856679444,0.75,354,1.0,0.2561805248260498,21.967042446136475
alpha_optimized,square@okhttp,0.8890645345455941,0.13213238344670702,0.9444444444444444,354,0.0,0.2878584861755371,3.7532598972320557
dnn_epochs_5,square@okhttp,0.8924925877427863,0.11764094774027867,0.9375,354,0.0,0.5790095329284668,3.9833004474639893
dnn_epochs_10,square@okhttp,0.8908596645748537,0.12453365739368956,0.9444444444444444,354,0.0,0.36801886558532715,3.963386297225952
dnn_epochs_20,square@okhttp,0.8937579406642745,0.11899264286462576,0.9444444444444444,354,0.0,0.7273664474487305,3.9315879344940186
pos_weight_10,square@okhttp,0.8879886850131203,0.1280312807285734,0.9444444444444444,354,0.8,0.3086588382720947,22.588435649871826
pos_weight_25,square@okhttp,0.8855720692874159,0.13611309339694974,0.9444444444444444,354,0.6,0.32031726837158203,19.832723379135132
pos_weight_100,square@okhttp,0.8911798988613835,0.12068421025065589,0.9433760683760684,354,0.8,0.4191415309906006,20.160550117492676
alpha_0.0,thinkaurelius@titan,0.8332045456131124,0.14277158957159497,0.8863636363636364,61,0.0,0.44649744033813477,0.46209239959716797
alpha_0.3,thinkaurelius@titan,0.8332045456131124,0.14277158957159497,0.8863636363636364,61,0.3,0.40917348861694336,3.08981990814209
alpha_0.5,thinkaurelius@titan,0.8332045456131124,0.14277158957159497,0.8863636363636364,61,0.5,0.601569414138794,5.465129852294922
alpha_0.7,thinkaurelius@titan,0.8335771238545431,0.14261319343699344,0.8863636363636364,61,0.7,0.3862471580505371,2.9434595108032227
alpha_1.0,thinkaurelius@titan,0.7456587546218492,0.22303008551682313,0.7954545454545454,61,1.0,0.3917355537414551,3.0267035961151123
alpha_optimized,thinkaurelius@titan,0.8332045456131124,0.14277158957159497,0.8863636363636364,61,0.0,0.5773453712463379,0.45534753799438477
dnn_epochs_5,thinkaurelius@titan,0.849070102084582,0.1252568716489473,0.8977272727272727,61,0.9,0.6222331523895264,3.1524574756622314
dnn_epochs_10,thinkaurelius@titan,0.8373625165366702,0.13408418027517227,0.8863636363636364,61,0.0,0.3484823703765869,0.46671032905578613
dnn_epochs_20,thinkaurelius@titan,0.8397607743834473,0.13349549472079122,0.8958333333333334,61,0.0,0.4542093276977539,0.4755403995513916
pos_weight_10,thinkaurelius@titan,0.8438351600565581,0.13313026728415106,0.8903508771929826,61,0.0,0.4285578727722168,0.45598745346069336
pos_weight_25,thinkaurelius@titan,0.8358741662247571,0.14621160791856766,0.8958333333333334,61,0.0,0.44357776641845703,0.4540390968322754
pos_weight_100,thinkaurelius@titan,0.8447920678423946,0.13826259083034298,0.9027777777777777,61,0.0,0.4000368118286133,0.46623897552490234
